"NombreCat","CodTip","Cantidad","Total"
"COCOAS Y CHOCOLATES                               ",201701,1,194.63
"YOGURT                                            ",201701,41,1046.1892
"REHIDRATANTES                                     ",201701,1,36.4974
"ARTICULOS PARA BEBE                               ",201701,3,219.04
"GOLOSINAS - CHOCOLATES                            ",201701,7,1239.11
"BEBIDAS GASEOSAS                                  ",201701,10,164.4746
"GOLOSINAS - GALLETAS                              ",201701,73,1259.2448
"AMBIENTADORES                                     ",201701,1,41.84
"DESODORANTES                                      ",201701,24,240.35
"ENJUAGUES DE ROPA                                 ",201701,10,1113.38
"EMBUTIDOS                                         ",201701,155,296.174
"CEPILLOS                                          ",201701,3,1046.3
"PANES Y KEKES                                     ",201701,147,452.9046
"LEJIAS                                            ",201701,28,295.99
"PAÑALES                                           ",201701,150,9179.04
"GOLOSINAS - MARSHMALLOWS                          ",201702,1,40
"POSTRES VARIOS                                    ",201702,6,16.2132
"FIDEOS Y PASTAS                                   ",201702,480,17656.15001
"JUGOS                                             ",201702,8,110.2916
"DETERGENTES                                       ",201702,18,2146.160001
"INFUSIONES                                        ",201702,10,683.91
"BEBIDAS GASEOSAS                                  ",201702,3,36.520001
"CERVEZAS                                          ",201702,20,486.380002
"BOCADITOS                                         ",201702,126,107.4154
"CONSERVAS DE FRUTAS Y VERDURAS                    ",201702,36,260.1546
"COCOAS Y CHOCOLATES                               ",201702,12,2457.05
"AGUA MINERAL                                      ",201702,15,43.83
"LECHE Y DERIVADOS                                 ",201702,210,8593.27
"JABON DE TOCADOR                                  ",201702,103,384.810803
"SHAMPOO Y CUIDADO PARA EL CABELLO                 ",201702,10,1493.17
"OTROS",201702,20,3149.83
"RON                                               ",201702,10,1488.99
"PANES Y KEKES                                     ",201702,137,275.155001
"CAFE                                              ",201702,1,97
"LAVAVAJILLAS Y SIMILARES                          ",201702,50,1191.79
"YOGURT                                            ",201702,16,389.1972
"REHIDRATANTES                                     ",201702,5,49.538
"SERVILLETAS Y PAPEL TOALLA                        ",201702,5,114.97
"OTROS ACCESORIOS                                  ",201702,96,307.53
"ARTICULOS DE LIMPIEZA                             ",201702,11,192.11
"COCINA                                            ",201702,100,326.611936
"MENESTRAS Y GRANOS                                ",201702,4,1800
"GOLOSINAS - CARAMELOS                             ",201702,13,158.820001
"GOLOSINAS - GALLETAS                              ",201702,71,563.5972
"CEREALES Y DERIVADOS DE LA SOYA                   ",201702,67,205.534
"EMBUTIDOS                                         ",201702,164,381.1964
"HELADOS                                           ",201702,10,270.340001
"ARTICULOS PARA EL HOGAR                           ",201702,50,57.6
"CONDIMENTOS Y VINAGRES                            ",201702,1,28.32
"TOALLAS HIGIENICAS                                ",201702,80,0.08
"MAQUINAS Y ESPUMAS DE AFEITAR                     ",201702,4,270.48
"AVENAS                                            ",201703,250,7125
"GOLOSINAS - GALLETAS                              ",201703,156,2866.565203
"FIDEOS Y PASTAS                                   ",201703,240,234.97563
"LICOR                                             ",201703,10,1742.62
